date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,start_order
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---CHN01,People's Republic of China,Team,CHN,China,1.0,276.7867,POINTS,,,18
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---AUT01,Austria,Team,AUT,Austria,2.0,267.2533,POINTS,,9.5334,9
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---NED01,Netherlands,Team,NED,Netherlands,3.0,264.7066,POINTS,,12.0801,15
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---GBR01,Great Britain,Team,GBR,Great Britain,4.0,264.0282,POINTS,,12.7585,17
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---UKR01,Ukraine,Team,UKR,Ukraine,5.0,260.4600,POINTS,,16.3267,10
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---JPN01,Japan,Team,JPN,Japan,6.0,257.3533,POINTS,,19.4334,7
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---ESP01,Spain,Team,ESP,Spain,7.0,254.0816,POINTS,,22.7051,16
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---GRE01,Greece,Team,GRE,Greece,8.0,250.4584,POINTS,,26.3283,11
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---ISR01,Israel,Team,ISR,Israel,9.0,243.0666,POINTS,,33.7201,14
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---FRA01,France,Team,FRA,France,10.0,241.3116,POINTS,,35.4751,1
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---MEX01,Mexico,Team,MEX,Mexico,11.0,238.9383,POINTS,,37.8484,8
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---USA01,United States of America,Team,USA,United States,12.0,230.7134,POINTS,,46.0733,4
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---KOR01,Republic of Korea,Team,KOR,Korea,13.0,227.5667,POINTS,,49.2200,5
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---AUS01,Australia,Team,AUS,Australia,14.0,210.0782,POINTS,,66.7085,6
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---CAN01,Canada,Team,CAN,Canada,15.0,201.5167,POINTS,,75.2700,12
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---EGY01,Egypt,Team,EGY,Egypt,16.0,196.5250,POINTS,,80.2617,3
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---NZL01,New Zealand,Team,NZL,New Zealand,17.0,188.0901,POINTS,,88.6966,2
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---ITA01,Italy,Team,ITA,Italy,,,IRM,DNS,,13
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---GBR01,Great Britain,Team,GBR,Great Britain,1.0,294.5085,POINTS,,,15
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---NED01,Netherlands,Team,NED,Netherlands,2.0,293.6897,POINTS,,0.8188,16
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---CAN01,Canada,Team,CAN,Canada,3.0,290.9103,POINTS,,3.5982,14
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---CHN01,People's Republic of China,Team,CHN,China,4.0,289.6916,POINTS,,4.8169,17
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---AUT01,Austria,Team,AUT,Austria,5.0,288.4145,POINTS,,6.0940,12
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,FINISHED,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---GRE01,Greece,Team,GRE,Greece,6.0,281.8418,POINTS,,12.6667,11
